"REF_DATE","GEO","DGUID","Education","Donation statistics (UOM)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Quebec","2016A000224","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644259","6.4.6","25.7","","","","1"
"2013","Quebec","2016A000224","University degree","Donor rate","Percent","239","units","0","v95644260","6.5.1","86.1","","","","1"
"2013","Quebec","2016A000224","University degree","Average annual donations","Dollars","81","units","0","v95644261","6.5.2","487","","","","0"
"2013","Quebec","2016A000224","University degree","Median annual donations","Dollars","81","units","0","v95644262","6.5.3","134","","","","0"
"2013","Quebec","2016A000224","University degree","Total annual donations","Dollars","81","millions","6","v95644263","6.5.4","664.6","","","","1"
"2013","Quebec","2016A000224","University degree","Population distribution","Percent","239","units","0","v95644264","6.5.5","24.8","","","","1"
"2013","Quebec","2016A000224","University degree","Percentage of total donation value","Percent","239","units","0","v95644265","6.5.6","47.4","","","","1"
"2013","Ontario","2016A000235","All education levels","Donor rate","Percent","239","units","0","v95644266","7.1.1","83.7","","","","1"
"2013","Ontario","2016A000235","All education levels","Average annual donations","Dollars","81","units","0","v95644267","7.1.2","543","","","","0"
"2013","Ontario","2016A000235","All education levels","Median annual donations","Dollars","81","units","0","v95644268","7.1.3","158","","","","0"
"2013","Ontario","2016A000235","All education levels","Total annual donations","Dollars","81","millions","6","v95644269","7.1.4","4861.7","","","","1"
"2013","Ontario","2016A000235","All education levels","Population distribution","Percent","239","units","0","v95644270","7.1.5","100.0","","","","1"
"2013","Ontario","2016A000235","All education levels","Percentage of total donation value","Percent","239","units","0","v95644271","7.1.6","100.0","","","","1"
"2013","Ontario","2016A000235","Less than high school","Donor rate","Percent","239","units","0","v95644272","7.2.1","68.3","","","","1"
"2013","Ontario","2016A000235","Less than high school","Average annual donations","Dollars","81","units","0","v95644273","7.2.2","391","E","","","0"
"2013","Ontario","2016A000235","Less than high school","Median annual donations","Dollars","81","units","0","v95644274","7.2.3","69","E","","","0"
"2013","Ontario","2016A000235","Less than high school","Total annual donations","Dollars","81","millions","6","v95644275","7.2.4","309.3","E","","","1"
"2013","Ontario","2016A000235","Less than high school","Population distribution","Percent","239","units","0","v95644276","7.2.5","10.8","","","","1"
"2013","Ontario","2016A000235","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644277","7.2.6","6.4","E","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Donor rate","Percent","239","units","0","v95644278","7.3.1","79.9","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644279","7.3.2","412","","","","0"
"2013","Ontario","2016A000235","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644280","7.3.3","101","","","","0"
"2013","Ontario","2016A000235","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644281","7.3.4","1131.1","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Population distribution","Percent","239","units","0","v95644282","7.3.5","32.1","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644283","7.3.6","23.3","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644284","7.4.1","89.0","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644285","7.4.2","451","","","","0"
"2013","Ontario","2016A000235","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644286","7.4.3","154","","","","0"
"2013","Ontario","2016A000235","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644287","7.4.4","1286.1","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644288","7.4.5","29.9","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644289","7.4.6","26.5","","","","1"
"2013","Ontario","2016A000235","University degree","Donor rate","Percent","239","units","0","v95644290","7.5.1","88.5","","","","1"
"2013","Ontario","2016A000235","University degree","Average annual donations","Dollars","81","units","0","v95644291","7.5.2","830","","","","0"
"2013","Ontario","2016A000235","University degree","Median annual donations","Dollars","81","units","0","v95644292","7.5.3","252","","","","0"
"2013","Ontario","2016A000235","University degree","Total annual donations","Dollars","81","millions","6","v95644293","7.5.4","2135.2","","","","1"
"2013","Ontario","2016A000235","University degree","Population distribution","Percent","239","units","0","v95644294","7.5.5","27.2","","","","1"
"2013","Ontario","2016A000235","University degree","Percentage of total donation value","Percent","239","units","0","v95644295","7.5.6","43.9","","","","1"
"2013","Manitoba","2016A000246","All education levels","Donor rate","Percent","239","units","0","v95644296","8.1.1","83.9","","","","1"
"2013","Manitoba","2016A000246","All education levels","Average annual donations","Dollars","81","units","0","v95644297","8.1.2","712","","","","0"
"2013","Manitoba","2016A000246","All education levels","Median annual donations","Dollars","81","units","0","v95644298","8.1.3","199","","","","0"
"2013","Manitoba","2016A000246","All education levels","Total annual donations","Dollars","81","millions","6","v95644299","8.1.4","586.0","","","","1"
"2013","Manitoba","2016A000246","All education levels","Population distribution","Percent","239","units","0","v95644300","8.1.5","100.0","","","","1"
"2013","Manitoba","2016A000246","All education levels","Percentage of total donation value","Percent","239","units","0","v95644301","8.1.6","100.0","","","","1"
"2013","Manitoba","2016A000246","Less than high school","Donor rate","Percent","239","units","0","v95644302","8.2.1","75.3","","","","1"
"2013","Manitoba","2016A000246","Less than high school","Average annual donations","Dollars","81","units","0","v95644303","8.2.2","467","E","","","0"
